PEID	ROP3	geonameid
1	101896	6355231
2	109534	6355231
4	100425	2761333
5	100626	2761333
6	116599	2761333
9	101657	2761333
12	102315	2777215
13	102346	2778438
17	103059	2761333
18	103305	2781502
19	103480	2761333
20	103686	2761333
21	103918	2761333
25	104096	2761333
26	105458	2761333
31	102787	2761333
34	107987	2761333
35	107993	2761333
36	108096	2761333
38	108452	2766818
39	103304	2781502
41	109357	2762367
43	109534	2761333
44	109650	2761333
46	113818	2761333
48	100226	2803136
50	116618	6693370
53	102879	6693370
56	103305	2792411
57	103686	6693370
58	103701	6693370
59	104096	6693370
60	104365	6693370
62	105458	6693370
63	105785	6693370
65	106804	2803136
67	108129	2792411
68	108394	6693370
69	108452	6693370
70	108925	6693370
72	110285	6693370
73	113818	6693370
76	101230	2803136
78	100425	2621941
81	102439	2620321
82	116623	2621941
83	102440	2624905
84	102787	2624647
85	102982	2621941
86	103305	2611516
87	103483	2618424
88	103943	2624647
90	107478	2621941
91	107987	2618424
92	108096	2621941
94	108182	2618424
97	109534	2618424
98	109650	2621941
99	113818	2621941
100	110423	2618424
101	102439	2611397
102	102982	2611397
109	103021	9610699
110	103023	9610712
111	116619	9610677
113	104657	9610702
119	108452	9610677
122	109650	9610677
128	115845	3034720
133	100516	3031359
134	116117	2971090
135	101106	2984887
136	101254	2968815
138	101857	3013767
139	109709	2968815
142	101896	2984885
143	115069	3013657
144	102295	3023514
145	102346	3013657
146	102439	2975246
147	102787	2990129
151	103059	2968815
152	116537	3013657
153	103244	3016194
155	103298	2975246
156	103304	3034720
159	103544	2975246
163	103844	2975246
164	104096	3013738
166	104117	3013767
167	104189	2975246
168	103063	2975246
170	104946	2975246
171	105225	2968815
172	105643	2971071
173	105729	3013657
176	108394	2997857
177	105944	2991627
179	106120	2968815
180	106236	2968815
185	108096	2990129
186	108129	3015948
188	105639	2973362
189	108365	2968815
191	109316	2975246
192	108398	3013657
193	108452	2975246
195	108856	2971090
199	109534	2971090
200	109650	2968815
204	113818	2975249
205	110376	2968815
207	105018	2971090
209	110648	2990129
212	101666	3018471
214	100574	2938912
219	100626	2861322
221	101368	2950157
222	102927	2950157
224	101833	2950157
226	101983	2955470
227	102059	2950157
229	102439	2838632
230	102787	2950157
231	102838	2862926
236	117686	2950157
237	116522	2886241
238	103304	2925180
239	103305	2861322
243	103789	2861322
246	104247	2950157
247	104791	2950157
249	105225	2938912
250	105458	2934245
251	105674	2950157
252	105803	2950157
254	105944	2847618
255	106063	2938912
257	107443	2838632
258	109422	2842566
259	107987	2950157
260	107989	2911297
261	106548	2938912
263	108096	2955470
264	108129	2911297
265	108394	2861322
268	108856	2861322
269	111031	2886241
270	109357	2861322
272	109642	3214105
273	110313	2950157
274	113818	2934245
275	110376	2950157
277	110423	2938912
279	102927	2520597
280	103370	2520597
